0	0	0
1	0.0999561	-0.00161466
2	0.155837	0.00535136
3	0.0983495	0.00645228
4	0.178542	0.0147682
5	0.116001	0.00556897
6	0.372325	0.0255991
7	0.184542	0.015416
8	0.187848	0.0122637
9	0	0
10	0.119559	0.000502735
11	0.16756	-0.0130213
12	0	0
13	0.529677	0.0100251
14	0.240059	-0.0190026
15	0.00494803	-0.00154887
16	0.355141	-0.0483136
17	0.564591	-0.0737246
18	0.244009	-0.0640967
19	0.364875	-0.106021
20	0.309845	-0.11664
21	0.545148	-0.125404
22	0.26283	-0.107134
23	0.374222	-0.137019
24	0.539444	-0.130678
25	0.322799	-0.131594
26	0.351099	-0.142706
27	0.256717	-0.132709
28	0.267497	-0.137787
29	0.313385	-0.142628
30	0	0
31	0.281341	-0.156589
