0	3	0.00597885	0.444701
0	6	0.00817947	0.452034
0	7	0.0155288	0.470847
0	14	0.0126018	0.482961
0	15	0.0209682	0.475506
0	16	0.0696546	0.515609
0	19	0.0584863	0.538064
1	4	0.0502916	0.657542
1	5	0.0772399	0.607774
1	7	0.0220692	0.507315
1	8	0.0700346	0.60179
1	9	0.00147424	0.634044
1	10	0.019205	0.550527
1	11	0.0122271	0.402627
1	12	0.00124549	0.366908
1	14	0.0151765	0.510519
1	15	0.0144912	0.498827
1	16	0.00382009	0.511129
1	17	0.046222	0.663305
2	3	0.00871911	0.438351
2	8	0.00352924	0.459081
2	9	0.00292733	0.503806
2	11	0.0130789	0.454226
2	15	0.0311021	0.561003
2	16	0.00570899	0.447529
2	18	0.00240812	0.431289
3	0	0.0045462	0.397509
3	2	0.0310401	0.569485
3	6	0.021174	0.394366
3	7	0.0117717	0.50996
3	8	0.00836693	0.523832
3	18	0.00589637	0.535469
3	19	0.00475461	0.563574
4	1	0.00743146	0.368957
4	7	0.0029893	0.403028
4	13	0.00346688	0.437381
4	15	0.00558415	0.398018
4	17	0.00371597	0.430422
4	18	0.00809668	0.48231
5	1	0.0195964	0.398554
5	6	0.0083459	0.492797
5	8	0.0138055	0.452889
5	10	0.00319684	0.389857
5	11	0.00797205	0.474217
5	14	0.0055844	0.442635
6	0	0.00525261	0.510141
6	3	0.0200957	0.448604
6	5	0.013142	0.516847
6	7	0.0147188	0.444544
6	11	0.0405715	0.602091
6	19	0.00363301	0.451686
7	0	0.012374	0.527104
7	1	0.0359815	0.566325
7	3	0.0155705	0.477592
7	4	0.00566762	0.472786
7	6	0.0125604	0.49778
7	15	0.0295653	0.54801
7	17	0.00274051	0.515411
7	19	0.0113357	0.51308
8	1	0.0153621	0.432687
8	2	0.00371597	0.430422
8	3	0.0029478	0.408702
8	5	0.0122475	0.379906
8	10	0.00330062	0.383893
8	14	0.00622756	0.380245
8	18	0.0117715	0.49585
9	1	0.000747357	0.444701
9	2	0.00298977	0.555812
9	10	0.00753571	0.427251
9	11	0.000456723	0.454803
9	12	0.0108368	0.456196
9	13	0.00413145	0.497747
9	15	0.00159862	0.506753
9	16	0.0200136	0.49611
9	19	0.0362676	0.446164
10	1	0.00492013	0.451734
10	5	0.00296878	0.482777
10	8	0.00230417	0.369611
10	9	0.005356	0.434364
10	12	0.00666342	0.370959
10	13	0.0217363	0.474948
10	14	0.0177072	0.390634
10	15	0.00473284	0.359888
10	17	0.00149467	0.416919
10	19	0.0207605	0.470259
11	1	0.0187884	0.478712
11	2	0.0114804	0.461379
11	5	0.00481658	0.50026
11	6	0.0132864	0.450257
11	9	0.00114185	0.491168
11	12	0.0012664	0.475669
11	16	0.00485816	0.51308
12	1	0.00201367	0.422934
12	9	0.0121868	0.499408
12	10	0.0067469	0.434101
12	11	0.00197217	0.431834
12	16	0.014697	0.378775
12	19	0.0195146	0.457704
13	4	0.00211753	0.451237
13	9	0.00207594	0.420253
13	10	0.0159641	0.430684
13	15	0.00556337	0.395771
13	18	0.00251163	0.322541
13	19	0.00330075	0.421637
14	0	0.0148026	0.495351
14	1	0.0150929	0.472061
14	5	0.00631112	0.460784
14	8	0.00624854	0.415534
14	10	0.0553743	0.578056
14	15	0.036208	0.517461
14	16	0.0152802	0.502977
15	0	0.007576	0.271438
15	1	0.0147401	0.479132
15	2	0.0203653	0.435525
15	4	0.010297	0.45187
15	7	0.0141581	0.434273
15	9	0.004069	0.459441
15	10	0.0182926	0.607512
15	13	0.0126025	0.538973
15	14	0.0142198	0.395869
15	16	0.0146347	0.378968
15	17	0.00172338	0.614704
15	18	0.00423531	0.510063
16	0	0.0256782	0.37777
16	1	0.00589598	0.47209
16	2	0.00757751	0.463272
16	9	0.025494	0.475829
16	11	0.00749425	0.435158
16	12	0.0390545	0.570696
16	14	0.0160249	0.337019
16	15	0.0163156	0.346291
17	1	0.00564594	0.316401
17	4	0.0021801	0.581205
17	7	0.00190976	0.369807
17	10	0.00110035	0.509693
17	15	0.000788857	0.421306
18	2	0.00172333	0.590612
18	3	0.00211735	0.372792
18	4	0.0132466	0.570787
18	8	0.00776463	0.497586
18	13	0.002969	0.552704
18	15	0.00251198	0.454803
19	0	0.0199695	0.372384
19	3	0.00155716	0.546924
19	6	0.00203435	0.388002
19	7	0.0150483	0.277449
19	9	0.0521719	0.486929
19	10	0.0258892	0.503066
19	12	0.0385149	0.576534
19	13	0.00707959	0.507591
